Name,Price,Image,Link
Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U - (8 GB/256 GB SSD/Windows 11 Home) 15IAU7 Thin and...,"₹30,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/0/f/v/-original-imaguyhzwj4tqwqu.jpeg?q=70,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i3-12th-gen-1215u-8-gb-256-gb-ssd-windows-11-home-15iau7-thin-light-laptop/p/itm9fcf3daf70e1b?pid=COMGSVFEHCEWXFBQ&lid=LSTCOMGSVFEHCEWXFBQHLPEDL&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=en_O1iR2KqOL4F7lzwutRUw_T1Sa9imV2AlmnlWQsw_aAxy7uMEoBbD1KkwwOoKlEiTRVZ6xajfS37F-4Fciq7o3w%3D%3D&ppt=None&ppn=None&ssid=f5hzuzx00g0000001706076792304&qH=08d5bcbb70e82e43
HP Victus AMD Ryzen 5 Hexa Core 7535HS - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,"₹54,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/p/4/o/15-fb1016ax-gaming-laptop-hp-original-imagt2szk5gxr7qg.jpeg?q=70,https://www.flipkart.com/hp-victus-amd-ryzen-5-hexa-core-7535hs-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-15-fb1016ax-gaming-laptop/p/itme4088a021f8b5?pid=COMGS2XZWKYVR47K&lid=LSTCOMGS2XZWKYVR47KG0QXKS&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_2&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=en_O1iR2KqOL4F7lzwutRUw_T1Sa9imV2AlmnlWQsw_aAztxpbOuXp4r7kU-i65TwTAoUZoWyjlecOvSIhRkQTzyfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=f5hzuzx00g0000001706076792304&qH=08d5bcbb70e82e43
Lenovo Yoga Slim 6 Intel Evo Intel Core i5 12th Gen 1240P - (16 GB/512 GB SSD/Windows 11 Home) 14IAP8 ...,"₹64,619",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/p/4/-original-imagtzfgwutmyqwy.jpeg?q=70,https://www.flipkart.com/lenovo-yoga-slim-6-intel-evo-core-i5-12th-gen-1240p-16-gb-512-gb-ssd-windows-11-home-14iap8-thin-light-laptop/p/itmae04103d75ff9?pid=COMGTGMTF6BCTA88&lid=LSTCOMGTGMTF6BCTA88B7GBAM&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_3&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=b1deb8da-f2e3-43b2-9c31-4ff2d463cb5c.COMGTGMTF6BCTA88.SEARCH&ppt=None&ppn=None&ssid=f5hzuzx00g0000001706076792304&qH=08d5bcbb70e82e43
ASUS Vivobook S14 OLED Intel EVO H-Series Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11...,"₹65,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/h/z/-original-imagqdrxngpdcjzh.jpeg?q=70,https://www.flipkart.com/asus-vivobook-s14-oled-intel-evo-h-series-core-i5-12th-gen-12500h-16-gb-512-gb-ssd-windows-11-home-s3402za-km502ws-thin-light-laptop/p/itm93afec5862d72?pid=COMGCG2GXGJGEYUW&lid=LSTCOMGCG2GXGJGEYUWI64YYF&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_4&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=b1deb8da-f2e3-43b2-9c31-4ff2d463cb5c.COMGCG2GXGJGEYUW.SEARCH&ppt=None&ppn=None&ssid=f5hzuzx00g0000001706076792304&qH=08d5bcbb70e82e43
DELL Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and ...,"₹46,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/o/s/-original-imaghzah9mjvukjz.jpeg?q=70,https://www.flipkart.com/dell-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-new-inspiron-15-laptop-thin-light/p/itm2a208997818da?pid=COMGJ75HAXTTTV58&lid=LSTCOMGJ75HAXTTTV58DKOUI3&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_5&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=b1deb8da-f2e3-43b2-9c31-4ff2d463cb5c.COMGJ75HAXTTTV58.SEARCH&ppt=None&ppn=None&ssid=f5hzuzx00g0000001706076792304&qH=08d5bcbb70e82e43
Lenovo IdeaPad Slim 5 Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 11 Home) 16IRL8 Thin a...,"₹68,190",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/q/i/-original-imagu3kmp33qgvrs.jpeg?q=70,https://www.flipkart.com/lenovo-ideapad-slim-5-intel-core-i5-13th-gen-13500h-16-gb-512-gb-ssd-windows-11-home-16irl8-thin-light-laptop/p/itm47961696e0d36?pid=COMGRU9ZJUZQFMKY&lid=LSTCOMGRU9ZJUZQFMKYRNL2AO&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_6&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=b1deb8da-f2e3-43b2-9c31-4ff2d463cb5c.COMGRU9ZJUZQFMKY.SEARCH&ppt=None&ppn=None&ssid=f5hzuzx00g0000001706076792304&qH=08d5bcbb70e82e43
DELL Intel Core i5 13th Gen 1335U - (16 GB/1 TB SSD/Windows 11 Home) Inspiron 3530 Thin and Light Lapt...,"₹64,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/h/w/-original-imaghzahgukpkyfu.jpeg?q=70,https://www.flipkart.com/dell-intel-core-i5-13th-gen-1335u-16-gb-1-tb-ssd-windows-11-home-inspiron-3530-thin-light-laptop/p/itmde8407c6c5b9d?pid=COMGTQXEPE3ZKHN8&lid=LSTCOMGTQXEPE3ZKHN8LQLIR9&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_7&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=b1deb8da-f2e3-43b2-9c31-4ff2d463cb5c.COMGTQXEPE3ZKHN8.SEARCH&ppt=None&ppn=None&ssid=f5hzuzx00g0000001706076792304&qH=08d5bcbb70e82e43
WINGS Nuvobook V1 Aluminium Alloy Metal Body Intel Intel Core i5 11th Gen 1155G7 - (8 GB/512 GB SSD/Wi...,"₹34,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/q/k/k/-original-imagtq3zkzyfudmn.jpeg?q=70,https://www.flipkart.com/wings-nuvobook-v1-aluminium-alloy-metal-body-intel-core-i5-11th-gen-1155g7-8-gb-512-gb-ssd-windows-11-home-wl-nuvobook-v1-grn-thin-light-laptop/p/itm08b220f630a42?pid=COMGQHYFDAV3PF5G&lid=LSTCOMGQHYFDAV3PF5GOQDUUE&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_8&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=en_O1iR2KqOL4F7lzwutRUw_T1Sa9imV2AlmnlWQsw_aAwKQReEHZUlhT8qyly4YxHjuS1pKfhvTIS89uMy9Z9nA0hz9c-MSIoFe8xMxkfU6dM%3D&ppt=None&ppn=None&ssid=f5hzuzx00g0000001706076792304&qH=08d5bcbb70e82e43
HP Victus AMD Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,"₹67,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/8/i/j/-original-imagthcbgurdzwuc.jpeg?q=70,https://www.flipkart.com/hp-victus-amd-ryzen-7-octa-core-5800h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-15-fb0137ax-gaming-laptop/p/itmc0108d5fa7687?pid=COMGZUGT3NMUDWFS&lid=LSTCOMGZUGT3NMUDWFSSGDZZI&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_9&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=b1deb8da-f2e3-43b2-9c31-4ff2d463cb5c.COMGZUGT3NMUDWFS.SEARCH&ppt=None&ppn=None&ssid=f5hzuzx00g0000001706076792304&qH=08d5bcbb70e82e43
Lenovo IdeaPad Slim 3 Intel Core i5 11th Gen 1135G7 - (16 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin a...,"₹44,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/9/d/n/-original-imaguyhzhbhqe8qj.jpeg?q=70,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i5-11th-gen-1135g7-16-gb-512-gb-ssd-windows-11-home-15itl6-thin-light-laptop/p/itm36fec4d6ab322?pid=COMGKC6Y2KA8HMFT&lid=LSTCOMGKC6Y2KA8HMFTCCRJQM&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_10&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=b1deb8da-f2e3-43b2-9c31-4ff2d463cb5c.COMGKC6Y2KA8HMFT.SEARCH&ppt=None&ppn=None&ssid=f5hzuzx00g0000001706076792304&qH=08d5bcbb70e82e43
